Name of Organization,Condition(s),Tag,Health Region,City,Address,Postal Code,Contact email,Contact phone number,Contact website,Status,Services offered,Language restriction,Age restriction,Cost,Virtual/In-person,Notes,map,images,images links,,
Arthritis Society Canada,Arthritis ,"inflammatory, arthritis",National,,"220 Bay St, Suite 300, Toronto, ON M5J 2W4",M5J 2W4,info@arthritis.ca,1.800.321.1433,https://arthritis.ca/about-us/about-arthritis-society-canada,Active,"A phone line for anyone looking for arthritis-related information and support, whether it is someone living with an arthritis diagnosis, their family or friends, or a healthcare provider.",N/A,Youth and adults,Free,Virtual only,Inflammatory,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d42659530.38553179!2d169.37620970000003!3d49.26254240000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b34cec86949af%3A0x2364a355bdf808de!2sArthritis%20Society%20Canada%20-%20National%20Office!5e0!3m2!1sen!2sca!4v1736288342337!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/arthritis.jpg,https://unsplash.com/photos/person-holding-babys-hand-YgONpSF3Q28,,
Arthritis Society Canada,Arthritis,"rhematology, arthritis, joint pain, ",National,,"220 Bay St, Suite 300
Toronto, ON ",M5J 2W4,info@arthritis.ca,1.800.321.1433,https://arthritis.ca/,Active,"Online education, telephone support service.",N/A,Youth and adults,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1478160.350021014!2d-81.42932245590009!3d43.64750394449096!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b34cec86949af%3A0x2364a355bdf808de!2sArthritis%20Society%20Canada%20-%20National%20Office!5e0!3m2!1sen!2sca!4v1736288934620!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/arthritis2.jpg,https://unsplash.com/photos/left-hand-over-right-hand-with-gray-background-VN6DbKajo5s,,
Autism BC,Autism,"autism, ASD, asperger, developmental, neuro, mind, brain, mental, behaviour, emotion, social, disability",VCH,Richmond,3688 Cessna Drive,V7B 1C7,n/a,604.434.0880,https://www.autismbc.ca/,Active,"Psychoeducation for caregivers, social events, resources re: autism",N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10430.54148045181!2d-123.15311136273476!3d49.18850534396479!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548674d770c1c185%3A0x1c91853f5024d585!2s3688%20Cessna%20Dr%2C%20Richmond%2C%20BC%20V7B%201C7!5e0!3m2!1sen!2sca!4v1736310820899!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/autism1.jpg,https://unsplash.com/photos/girl-in-blue-jacket-holding-white-and-brown-short-coated-puppy-Rn9HYremvBI,,
Autism Community Training,Autism,"autism, ASD, asperger, developmental, neuro, mind, brain, mental, behaviour, emotion, social, disability",Fraser health,Burnaby,3823 Henning Drive Suite 120B,V5C 6P3,info@actcommunity.ca,1-866-939-5188,https://www.actcommunity.ca/bcresources/,Active,"Seminars, community events, autism manual","English, Chinese, Punjabi, Korean",Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10414.328205022959!2d-123.03139046267576!3d49.265367244146624!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548676d58fa25547%3A0xdd8e714d3eda0cd6!2sACT%20-%20Autism%20Community%20Training!5e0!3m2!1sen!2sca!4v1736310975663!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/autism5.jpg,https://unsplash.com/photos/baby-listening-in-black-headset-mp_FNJYcjBM,,
Autism Support Network,Autism,"autism, ASD, asperger, developmental, neuro, mind, brain, mental, behaviour, emotion, social, disability",VCH,Richmond,"3688 Cessna Drive, Richmond, BC, Canada",unavailable,info@autismsupportbc.ca,(604) 207-1980 local 2019,https://www.autismsupportbc.ca/contact,Active,educates and supports families to engage with ABA services,N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10430.54148045181!2d-123.15311136273476!3d49.18850534396479!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548674d7709b90eb%3A0xbeb64c382dc5a32d!2sAutism%20Support%20Network!5e0!3m2!1sen!2sca!4v1736310990626!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/autism6.jpg,https://unsplash.com/photos/portrait-of-a-nonbinary-autistic-person-using-their-mobile-phone-indoors-vvW2WF-999g,,
Balding for Dollars,Blood Cancers,"cancer, blood, hematologic, leukemia, lymphoma, multiple myeloma, MM, hematopoietic, bone marrow, plasma cell, myeloproliferative, lymphatic, myelodysplastic, CLL, ALL, CML, AML, lymphoblastic, myeloid, hodgkin, non-hodgkin, rare",VCH,Vancouver,"4480 Oak Street, Vancouver, B.C.",V6H 3V4,trish.shirra@cw.bc.ca,604-875-2345 ext 2497,https://baldingfordollars.com/,Active,"Offers bursaries to childhood cancer survivors (young adults who went through our Oncology/Hematology programs at BCCH), provides education, teen adventures, and parent retreats.",N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5209.221159603421!2d-123.13027622318332!3d49.24587197335977!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486738e0ea4ce67%3A0xf3329155e832249f!2sBalding%20for%20Dollars!5e0!3m2!1sen!2sca!4v1736287550184!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/cancer2.jpg,,,
BC Bereavement services,Palliative,"Pallative, Death, dying, grief, terminal illness",All,,,NA ,contact@bcbh.ca,"604-738-9950
1-877-779-2223",https://bcbh.ca/,Active,,,,Free/Out of pocket,,,,images/terminal.jpg,https://unsplash.com/photos/cpr-dummy-pr_0PX1b6ZM,,
BC Centre for Ability,Developmental disabilities,"developmental, neuro, mind, behaviour, brain, intellectual, cognitive, child, delay",VCH,Vancouver,2805 Kingsway,V5R 5H9,n/a,(604) 451-5511,https://bc-cfa.org/,Active,"Adult employment programs and youth programs (brain injury, family counselling, FASD support, early intervention)",N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10420.285251154566!2d-123.05764136269742!3d49.23713714407945!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548676981566cb2d%3A0xe260a331c526df52!2sBC%20Centre%20for%20Ability!5e0!3m2!1sen!2sca!4v1736310841997!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/autism3.jpg,https://unsplash.com/photos/boy-standing-on-gray-concrete-road-while-tongue-out-W82dYwtQrTk,,
BC Centre for Palliative Care,Palliative,"Pallative, Death, dying, grief, terminal illness",All,New Westminster,"300 – 601 Sixth St. 
", V3L 3C1,office@bc-cpc.ca,604-553-4866,https://www.bc-cpc.ca/,Active,Resrouces on advanced care planning and pallative care.,,,Free,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10425.260708596446!2d-122.93053826271553!3d49.21354954402369!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548677df057774e3%3A0xd7f130581cbd86c2!2s601%206th%20St%20%23300%2C%20New%20Westminster%2C%20BC%20V3L%203C1!5e0!3m2!1sen!2sca!4v1736311170730!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/care.jpg,https://unsplash.com/photos/person-holding-amber-glass-bottle-0MoF-Fe0w0A,,
BC Diabetes Foundation,Diabetes,"diabetes, sugar, glucose, autoimmune, insulin, glycem, pancreatic, pancreas, endocrine",VCH,Vancouver,#400 - 210 W Broadway,V5Y 3W2,info@bcdiabetes.org,604-628-2395,https://www.bcdiabetes.org/,Active,Educational resources.,English,Youth and adults,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.708192715535!2d-123.10966789999998!3d49.26297659999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673e74b775485%3A0x42b6541a7ee7e876!2sBC%20Diabetes%20Offices!5e0!3m2!1sen!2sca!4v1736310781100!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/diabetes2.jpg,https://unsplash.com/photos/orange-and-white-plastic-bottle-on-brown-wooden-table-5Hib8uDTm6g,,
BC End of Life Companions,Palliative,"Pallative, Death, dying, grief, terminal illness",All,,,NA ,bcendoflifecompanions@gmail.com,778-772-9558,www.bcendoflifecompanions.com,Active,,,,Free/Out of pocket,,,,images/companion.jpg,https://unsplash.com/photos/woman-in-white-dress-walking-on-pathway-between-trees-during-daytime-MJNbBLx9W5U,,
BC Family Residence Program,Cancer,"cancer, malignancy, neoplasm, carcinoma, tumor, tumour, oncology, oncologic, malignant, neoplastic, sarcoma, adenocarcinoma, hematologic, carcinogenic, metastatic, myeloma, housing, accomdation, treatment, apartment, long stay",All,Vancouver,N/A,N/A,N/A,"1-866-496-6946 (Accommodation Assistance), 1-877-346-HOPE (4673) - Hope Air",https://www2.gov.bc.ca/gov/content/health/accessing-health-care/tap-bc/bc-family-residence-program,Active,Provides accommodation assistance to enable families to stay together when their child requires medical care at BC Children's Hospital or Sunny Hill Health Centre for Children.,N/A,Youth only,Free,In-person only,,,images/family.jpg,,,
BC Family Residence Program,All ,"family, caregiving, residence, BC, british columbia, residence, housing, living, shelter",VCH,Vancouver,N/A,N/A,N/A,"1-866-496-6946 (Accommodation Assistance), 1-877-346-HOPE (4673) - Hope Air",https://www2.gov.bc.ca/gov/content/health/accessing-health-care/tap-bc/bc-family-residence-program,Active,Provides accommodation assistance to enable families to stay together when their child requires medical care at BC Children's Hospital or Sunny Hill Health Centre for Children,N/A,Youth and adults,Free,In-person only,,,images/bcwellness.jpg,https://unsplash.com/photos/three-people-underneath-yellow-bed-blanket-HSy0QXIRafg,,
BC Hospice And Pallative Care Association,Palliative,"Pallative, Death, dying, grief, terminal illness",All,,,NA ,,,NA,Active,,,,Free/Out of pocket,,,,images/friend.jpg,https://unsplash.com/photos/woman-and-dog-on-blue-hammock-c-Dubn8AxIs,,
BC Lung Association,"Environment, Air quality, Lung disease",,All,,N/A,N/A,info@bc.lung.ca,1-800-665-5864,https://www.lung.ca/bc-lung-association,Active,"Educational resources, advocacy, and air quality information.",English/French,Youth and adults,Free,Virtual only,,,images/lung.jpg,https://unsplash.com/photos/selective-focus-photography-of-anatomy-lungs-Pw9aFhc92P8,,
BC Lung Foundation Abbotsford,"COPD, asthma",COPD,Fraser health,Abbotsford,"35190 Delair Rd, Abbotsford",V3G 2E2,betterbreathers@bclung.ca,1-800-665-5864,https://bclung.ca/peer-support,Active,"Are you an adult who has been diagnosed with a chronic lung condition? This program is for you! Did you know that playing the harmonica is not only fun, but it can strengthen your breathing muscles for better breath control, improve the quality of your cough for better mucus clearance and build confidence for improved quality of life! Join us for one hour, once a week for 5 weeks, in this interactive group class over Zoom.",English,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2615.7453878479055!2d-122.25231332319261!3d49.03444938830008!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54844af5e83cfff9%3A0x8514a019da6d4695!2s35190%20Delair%20Rd%2C%20Abbotsford%2C%20BC%20V3G%202E2!5e0!3m2!1sen!2sca!4v1736289225016!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/asthma3.jpg,https://unsplash.com/photos/a-person-holding-a-bottle-in-their-hand-rWJIDOSAYfQ,,
BC Lung Foundation Vancouver,"COPD, asthma",COPD,Vancouver island,Vancouver,"2675 Oak St, Vancouver",V6H 2K2,betterbreathers@bclung.ca,1-800-665-5864,https://bclung.ca/peer-support,Active,"The online support group allows participants to share patient experiences, support one another, have access to expert respiratory health support and learn how to live your best life.",English,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.77487101504!2d-123.12950692318265!3d49.26171287223853!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673c3d1d0dcad%3A0xc72bef8d7533f5d!2sBC%20Lung%20Foundation!5e0!3m2!1sen!2sca!4v1736289049015!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/asthma2.jpg,https://unsplash.com/photos/a-woman-holding-a-cell-phone-up-to-her-face-rK-5_WTymTw,,
BC Lung Foundation Vernon,"COPD, Asthma",COPD,Interior,Vernon,"2800 30th Ave, Vernon",V1T 8S3 ,betterbreathers@bclung.ca,1-800-665-5864,https://bclung.ca/peer-support,Active,"Our support programs are designed for those living with, impacted by, or providing care for those with chronic lung conditions including COPD and Asthma.",English,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2550.5223718255706!2d-119.27053782313719!3d50.26350430080635!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x537dd8e842c9afd7%3A0x5b5207e96074fa6b!2sVernon%20Library%20%7C%20ORL%20Branch!5e0!3m2!1sen!2sca!4v1736289038351!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/asthma1.jpg,https://unsplash.com/photos/an-iv-and-a-tube-laying-on-a-bed-Vs6FihuzxCg,,
BC Lupus Society,Lupus,"rhematology, lupus,",Provincial,,"#332 - 720 Sixth Street, New Westminster, BC",V3L 3C5,info@bclupus.org,778-869-1607,https://www.bclupus.org/,Active,Virtual support group and education. ,N/A,Youth and adults,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2606.2444752522224!2d-122.92278390000001!3d49.21489050000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548677de9340bf65%3A0x80434430af543c2c!2sB%20C%20Lupus%20Society!5e0!3m2!1sen!2sca!4v1736288869140!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/lupus2.jpg,https://unsplash.com/photos/a-young-woman-with-freckles-on-her-face-NXEi84bhtq0,,
BC Renal,Kidney Disease,"kidney, renal, chronic kidney, ESRD, AKI, nephritic, nephrotic, polycystic, PKD, glomerulonephritis, diabetic nephropathy, hypertensive nephropathy, interstital nephritis, tubulointerstitial, nephro, uremia, glomerular, renal parenchymal, ARF, CRF, nephrosclerosis, hydronephrosis, pyleonephritis, renal artery stenosis, RAS, Dialysis, transplant, donor, immune system, urology, urologist",All,Vancouver,"Suite 260, 1770 West 7th Avenue, Vancouver, BC",V6J 4Y6,bcrenal@bcrenal.ca,604-875-7340,http://www.bcrenal.ca/,Active,Provides education and a database for kidney care services.,N/A,Youth and adults,Free,Virtual only,,,images/cancer1.jpg,,,
BC Schizophrenia Society,schizophrenia and other severe and persistent mental illnesses,"schizo, psychosis, psychotic, affective, mental, thought, split mind, neuro, psychiatric, psychiatry, chronic mental, cognitive dysregulation, brain, delusional, behavioural",VCH,Vancouver,"1100 – 1200 West 73rd AveVancouver, BC    ",V6P 6G5,info@bcss.org,604-270-7841 Toll Free: 1-888-888-0029,https://www.bcss.org/,Active,"Family support group, Strengthening familes together (SFT) program, educational events and webinars, online psychoeducation, BCSS Youth program (supporting youth who have a loved one with mental illness), one-on-one support, ",N/A,Youth and adults,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2606.8200061604357!2d-123.1332771!3d49.203973999999995!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548674e9463272c7%3A0xbb39f60bed527c8d!2sBCSS%20Foundation!5e0!3m2!1sen!2sca!4v1736310434086!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/schizo.jpg,https://unsplash.com/photos/a-man-with-a-face-mask-on-in-a-room-pmJTJMVW5sM,,
